-70.00	 -18.00
-69.00	 -18.00
-67.00	 -17.00
-66.00	 -17.00
-65.00	 -17.00
-63.00	 -16.00
-62.00	 -16.00
-61.00	 -16.00
-59.00	 -15.00
-58.00	 -15.00
-57.00	 -15.00
-55.00	 -14.00
-54.00	 -14.00
-53.00	 -14.00
-51.00	 -13.00
-50.00	 -13.00
-49.00	 -13.00
-47.00	 -12.00
-46.00	 -12.00
-45.00	 -12.00
-43.00	 -11.00
-42.00	 -11.00
-41.00	 -11.00
-39.00	 -10.00
-38.00	 -10.00
-37.00	 -10.00
-35.00	  -9.00
-34.00	  -9.00
-33.00	  -9.00
-31.00	  -8.00
-30.00	  -8.00
-29.00	  -8.00
-27.00	  -7.00
-26.00	  -7.00
-25.00	  -7.00
-23.00	  -6.00
-22.00	  -6.00
-21.00	  -6.00
-19.00	  -5.00
-18.00	  -5.00
-17.00	  -5.00
-16.00	  -4.00
-15.00	  -4.00
-14.00	  -4.00
-13.00	  -4.00
-12.00	  -3.00
-11.00	  -3.00
-10.00	  -3.00
 -9.00	  -3.00
 -7.00	  -2.00
 -6.00	  -2.00
 -5.00	  -2.00
 -3.00	  -1.00
 -2.00	  -1.00
 -1.00	  -1.00
  0.00	  -1.00
