 -2.00	  -0.50
 -1.96	  -0.49
 -1.92	  -0.48
 -1.88	  -0.47
 -1.84	  -0.46
 -1.80	  -0.45
 -1.76	  -0.44
 -1.72	  -0.43
 -1.68	  -0.42
 -1.60	  -0.40
 -1.56	  -0.39
 -1.52	  -0.38
 -1.48	  -0.37
 -1.44	  -0.36
 -1.36	  -0.34
 -1.32	  -0.33
 -1.28	  -0.32
 -1.24	  -0.31
 -1.16	  -0.29
 -1.12	  -0.28
 -1.08	  -0.27
 -1.04	  -0.26
 -1.00	  -0.25
 -0.96	  -0.24
 -0.92	  -0.23
 -0.88	  -0.22
 -0.84	  -0.21
 -0.76	  -0.19
 -0.72	  -0.18
 -0.60	  -0.15
 -0.56	  -0.14
 -0.52	  -0.13
 -0.48	  -0.12
 -0.44	  -0.11
 -0.36	  -0.09
 -0.32	  -0.08
 -0.28	  -0.07
 -0.24	  -0.06
 -0.20	  -0.05
 -0.08	  -0.02
 -0.04	  -0.01
